time,value
7.327471999999997,7886.896551724138
7.337481999999997,7963.218390804597
7.347491999999996,7979.770114942528
7.357501999999997,7928.275862068966
7.367511999999997,7785.747126436781
7.3775219999999955,8105.747126436781
7.387531999999996,7911.724137931034
7.397541999999997,8063.448275862069
7.4075519999999955,7979.770114942528
7.417561999999995,7862.068965517241
7.427571999999995,7968.735632183908
7.4375819999999955,7995.402298850575
7.447591999999995,8042.298850574713
7.457601999999994,7840.0
7.467611999999995,7962.298850574713
7.477621999999995,7897.0114942528735
7.487631999999994,8062.528735632184
7.497641999999994,7930.114942528736
7.507651999999994,7894.252873563219
7.517661999999994,7931.0344827586205
7.527671999999994,7963.218390804597
7.537681999999993,7967.816091954023
7.547691999999993,7937.471264367816
7.557701999999994,7874.022988505747
7.567711999999993,7905.287356321839
7.5777219999999925,8008.275862068966
7.587731999999993,7996.3218390804595
7.597741999999993,7954.942528735632
7.6077519999999925,7905.287356321839
7.617761999999992,7942.068965517241
7.627771999999992,7976.091954022989
7.6377819999999925,7853.793103448275
7.647791999999992,8005.51724137931
7.657801999999991,7755.402298850575
7.667811999999992,8057.0114942528735
7.677821999999992,8037.701149425287
7.687831999999991,7973.333333333333
7.697841999999991,7794.942528735632
7.707851999999991,7923.6781609195405
7.717861999999991,8102.068965517241
7.727871999999991,7974.252873563219
7.73788199999999,7849.19540229885
7.7478919999999905,7832.643678160919
7.757901999999991,7925.51724137931
7.76791199999999,8137.0114942528735
7.77792199999999,7831.724137931034
7.78793199999999,7896.091954022989
7.79794199999999,7876.781609195402
7.80795199999999,8034.022988505747
7.817961999999989,7884.137931034483
7.827971999999989,7944.827586206897
7.83798199999999,7829.885057471264
7.847991999999989,7804.137931034483
7.858001999999988,7851.954022988506
7.868011999999989,7944.827586206897
7.878021999999989,7950.3448275862065
7.888031999999988,7798.620689655172
7.898041999999988,7972.413793103448
7.908051999999989,7891.494252873563
7.918061999999988,7934.712643678161
7.928071999999988,7707.586206896552
7.938081999999987,7769.19540229885
7.9480919999999875,7845.517241379311
7.958101999999988,7733.333333333333
7.968111999999987,7583.448275862069
7.978121999999987,7838.16091954023
7.988131999999987,7607.35632183908
7.998141999999987,7691.954022988506
8.008151999999987,7646.896551724138
8.018161999999986,7431.724137931034
8.028171999999987,7444.597701149425
8.038181999999987,7244.137931034483
8.048191999999986,7903.448275862069
8.058201999999985,8053.333333333333
8.068211999999985,8056.091954022989
8.078221999999986,7996.3218390804595
8.088231999999985,7980.689655172414
8.098241999999985,7854.712643678161
8.108251999999986,7984.3678160919535
8.118261999999985,8232.643678160919
8.128271999999985,7918.16091954023
8.138281999999984,7904.3678160919535
8.148291999999984,7826.206896551724
8.158301999999985,8120.459770114942
8.168311999999984,8101.149425287356
8.178321999999984,7977.931034482758
8.188331999999985,7961.379310344828
8.198341999999984,7868.505747126436
8.208351999999984,8094.712643678161
8.218361999999985,7974.252873563219
8.228371999999982,7958.620689655172
8.238381999999984,7831.724137931034
8.248391999999985,7923.6781609195405
8.258401999999982,8052.413793103448
8.268411999999984,8065.287356321839
8.278421999999985,7917.241379310345
8.288431999999982,7838.16091954023
8.298441999999982,8016.551724137931
8.308451999999981,7985.287356321839
8.318461999999982,8011.954022988506
8.328471999999982,7886.896551724138
8.338481999999981,7963.218390804597
8.348491999999982,7979.770114942528
8.358501999999982,7928.275862068966
8.368511999999981,7785.747126436781
8.37852199999998,8105.747126436781
8.38853199999998,7911.724137931034
8.398541999999981,8063.448275862069
8.40855199999998,7979.770114942528
8.41856199999998,7862.068965517241
8.428571999999981,7968.735632183908
8.43858199999998,7995.402298850575
8.44859199999998,8042.298850574713
8.45860199999998,7840.0
8.468611999999979,7962.298850574713
8.47862199999998,7897.0114942528735
8.48863199999998,8062.528735632184
8.498641999999979,7930.114942528736
8.50865199999998,7894.252873563219
8.51866199999998,7931.0344827586205
8.528671999999979,7963.218390804597
8.538681999999978,7967.816091954023
8.548691999999978,7937.471264367816
8.558701999999979,7874.022988505747
8.568711999999978,7905.287356321839
8.578721999999978,8008.275862068966
8.588731999999979,7996.3218390804595
8.598741999999978,7954.942528735632
8.608751999999978,7905.287356321839
8.618761999999977,7942.068965517241
8.628771999999977,7976.091954022989
8.638781999999978,7853.793103448275
8.648791999999977,8005.51724137931
8.658801999999977,7755.402298850575
8.668811999999978,8057.0114942528735
8.678821999999977,8037.701149425287
8.688831999999977,7973.333333333333
8.698841999999976,7794.942528735632
8.708851999999975,7923.6781609195405
8.718861999999977,8102.068965517241
8.728871999999976,7974.252873563219
8.738881999999975,7849.19540229885
8.748891999999977,7832.643678160919
8.758901999999976,7925.51724137931
8.768911999999975,8137.0114942528735
8.778921999999975,7831.724137931034
8.788931999999976,7896.091954022989
8.798941999999975,7876.781609195402
8.808951999999975,8034.022988505747
8.818961999999974,7884.137931034483
8.828971999999975,7944.827586206897
8.838981999999975,7829.885057471264
8.848991999999974,7804.137931034483
8.859001999999974,7851.954022988506
8.869011999999973,7944.827586206897
8.879021999999974,7950.3448275862065
8.889031999999974,7798.620689655172
8.899041999999973,7972.413793103448
8.909051999999974,7891.494252873563
8.919061999999974,7934.712643678161
8.929071999999973,7707.586206896552
8.939081999999972,7769.19540229885
8.949091999999972,7845.517241379311
8.959101999999973,7733.333333333333
8.969111999999972,7583.448275862069
8.979121999999972,7838.16091954023
8.989131999999973,7607.35632183908
8.999141999999972,7691.954022988506
9.009151999999972,7646.896551724138
9.019161999999971,7431.724137931034
9.02917199999997,7444.597701149425
9.039181999999972,7244.137931034483
9.049191999999971,7903.448275862069
9.05920199999997,8053.333333333333
9.069211999999972,8056.091954022989
9.079221999999971,7996.3218390804595
9.08923199999997,7980.689655172414
9.09924199999997,7854.712643678161
9.10925199999997,7984.3678160919535
9.11926199999997,8232.643678160919
9.12927199999997,7918.16091954023
9.13928199999997,7904.3678160919535
9.14929199999997,7826.206896551724
9.15930199999997,8120.459770114942
9.16931199999997,8101.149425287356
9.179321999999969,7977.931034482758
9.189331999999968,7961.379310344828
9.19934199999997,7868.505747126436
9.209351999999969,8094.712643678161
9.219361999999968,7974.252873563219
9.22937199999997,7958.620689655172
9.239381999999969,7831.724137931034
9.249391999999968,7923.6781609195405
9.259401999999968,8052.413793103448
9.269411999999967,8065.287356321839
9.279421999999968,7917.241379310345
9.289431999999968,7838.16091954023
9.299441999999967,8016.551724137931
9.309451999999968,7985.287356321839
9.319461999999968,8011.954022988506
9.329471999999967,7886.896551724138
9.339481999999967,7963.218390804597
9.349491999999966,7979.770114942528
9.359501999999967,7928.275862068966
9.369511999999967,7785.747126436781
9.379521999999966,8105.747126436781
9.389531999999967,7911.724137931034
9.399541999999967,8063.448275862069
9.409551999999966,7979.770114942528
9.419561999999965,7862.068965517241
9.429571999999965,7968.735632183908
9.439581999999966,7995.402298850575
9.449591999999965,8042.298850574713
9.459601999999965,7840.0
9.469611999999966,7962.298850574713
9.479621999999965,7897.0114942528735
9.489631999999965,8062.528735632184
9.499641999999964,7930.114942528736
9.509651999999964,7894.252873563219
9.519661999999965,7931.0344827586205
9.529671999999964,7963.218390804597
9.539681999999964,7967.816091954023
9.549691999999965,7937.471264367816
9.559701999999964,7874.022988505747
9.569711999999964,7905.287356321839
9.579721999999963,8008.275862068966
9.589731999999962,7996.3218390804595
9.599741999999964,7954.942528735632
9.609751999999963,7905.287356321839
9.619761999999962,7942.068965517241
9.629771999999964,7976.091954022989
9.639781999999963,7853.793103448275
9.649791999999962,8005.51724137931
9.659801999999962,7755.402298850575
9.669811999999961,8057.0114942528735
9.679821999999962,8037.701149425287
9.689831999999962,7973.333333333333
9.699841999999961,7794.942528735632
9.709851999999962,7923.6781609195405
9.719861999999962,8102.068965517241
9.729871999999961,7974.252873563219
9.73988199999996,7849.19540229885
9.74989199999996,7832.643678160919
9.759901999999961,7925.51724137931
9.76991199999996,8137.0114942528735
9.77992199999996,7831.724137931034
9.789931999999961,7896.091954022989
9.79994199999996,7876.781609195402
9.80995199999996,8034.022988505747
9.81996199999996,7884.137931034483
9.829971999999959,7944.827586206897
9.83998199999996,7829.885057471264
9.84999199999996,7804.137931034483
9.860001999999959,7851.954022988506
9.87001199999996,7944.827586206897
9.88002199999996,7950.3448275862065
9.890031999999959,7798.620689655172
9.900041999999958,7972.413793103448
9.910051999999958,7891.494252873563
9.920061999999959,7934.712643678161
9.930071999999958,7707.586206896552
9.940081999999958,7769.19540229885
9.950091999999959,7845.517241379311
9.960101999999958,7733.333333333333
9.970111999999958,7583.448275862069
9.980121999999957,7838.16091954023
9.990131999999956,7607.35632183908
10.000141999999958,7691.954022988506
10.010151999999957,7646.896551724138
10.020161999999956,7431.724137931034
10.030171999999958,7444.597701149425
10.040181999999957,7244.137931034483
10.050191999999956,7903.448275862069
10.062427,6436.781609195402
10.072425,6005.517241379311
10.082427000000001,5766.436781609195
10.092427,5897.931034482758
10.102427,5684.597701149425
10.112425000000002,5605.517241379311
10.122427000000002,5540.229885057472
10.132427,5681.83908045977
10.142427000000001,5776.551724137931
10.152427000000001,5354.482758620689
10.162427000000001,5357.241379310345
10.172427,5307.586206896552
10.182427,5634.022988505747
10.192425,5571.494252873563
10.202427,5551.264367816092
